@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
2986,'2018/11/05 19:08:55:123',13,0.503937,0.15748,0.17,0.4,0.35
2987,'2018/11/05 19:08:55:146',13,0.503937,0.15748,0.17,0.4,0.35
2988,'2018/11/05 19:08:55:163',13,0.503937,0.15748,0.17,0.4,0.35
2989,'2018/11/05 19:08:55:183',13,0.503937,0.15748,0.17,0.4,0.35
2990,'2018/11/05 19:08:55:203',13,0.503937,0.15748,0.17,0.4,0.35
2991,'2018/11/05 19:08:55:223',13,0.503937,0.15748,0.17,0.4,0.35
2992,'2018/11/05 19:08:55:243',13,0.503937,0.15748,0.17,0.4,0.35
2993,'2018/11/05 19:08:55:263',13,0.503937,0.15748,0.17,0.4,0.35
2994,'2018/11/05 19:08:55:283',13,0.503937,0.15748,0.17,0.4,0.35
2995,'2018/11/05 19:08:55:303',13,0.503937,0.15748,0.17,0.4,0.35
2996,'2018/11/05 19:08:55:323',13,0.503937,0.15748,0.17,0.4,0.35
2997,'2018/11/05 19:08:55:343',13,0.503937,0.15748,0.17,0.4,0.35
2998,'2018/11/05 19:08:55:363',13,0.503937,0.15748,0.17,0.4,0.35
2999,'2018/11/05 19:08:55:383',13,0.503937,0.15748,0.17,0.4,0.35
3000,'2018/11/05 19:08:55:403',13,0.503937,0.15748,0.17,0.4,0.35
3001,'2018/11/05 19:08:55:423',13,0.503937,0.15748,0.17,0.4,0.35
3002,'2018/11/05 19:08:55:443',13,0.503937,0.15748,0.17,0.4,0.35
3003,'2018/11/05 19:08:55:463',13,0.503937,0.15748,0.17,0.4,0.35
3004,'2018/11/05 19:08:55:483',13,0.503937,0.15748,0.17,0.4,0.35
3005,'2018/11/05 19:08:55:503',13,0.503937,0.15748,0.17,0.4,0.35
3006,'2018/11/05 19:08:55:523',13,0.503937,0.15748,0.17,0.4,0.35
3007,'2018/11/05 19:08:55:543',13,0.503937,0.15748,0.17,0.4,0.35
3008,'2018/11/05 19:08:55:563',13,0.503937,0.15748,0.17,0.4,0.35
3009,'2018/11/05 19:08:55:583',13,0.503937,0.15748,0.17,0.4,0.35
3010,'2018/11/05 19:08:55:603',13,0.503937,0.15748,0.17,0.4,0.35
3011,'2018/11/05 19:08:55:623',13,0.503937,0.15748,0.17,0.4,0.35
3012,'2018/11/05 19:08:55:643',13,0.503937,0.15748,0.17,0.4,0.35
3013,'2018/11/05 19:08:55:666',13,0.503937,0.15748,0.17,0.4,0.35
3014,'2018/11/05 19:08:55:683',13,0.503937,0.15748,0.17,0.4,0.35
3015,'2018/11/05 19:08:55:703',13,0.503937,0.15748,0.17,0.4,0.35
3016,'2018/11/05 19:08:55:723',13,0.503937,0.15748,0.17,0.4,0.35
3017,'2018/11/05 19:08:55:743',13,0.503937,0.15748,0.17,0.4,0.35
3018,'2018/11/05 19:08:55:763',13,0.503937,0.15748,0.17,0.4,0.35
3019,'2018/11/05 19:08:55:783',13,0.503937,0.15748,0.17,0.4,0.35
3020,'2018/11/05 19:08:55:803',13,0.503937,0.15748,0.17,0.4,0.35
3021,'2018/11/05 19:08:55:823',13,0.503937,0.15748,0.17,0.4,0.35
3022,'2018/11/05 19:08:55:843',13,0.503937,0.15748,0.17,0.4,0.35
3023,'2018/11/05 19:08:55:863',13,0.503937,0.15748,0.17,0.4,0.35
3024,'2018/11/05 19:08:55:883',13,0.503937,0.15748,0.17,0.4,0.35
3025,'2018/11/05 19:08:55:937',13,0.503937,0.15748,0.17,0.4,0.35
3026,'2018/11/05 19:08:55:956',13,0.503937,0.15748,0.17,0.4,0.35
3027,'2018/11/05 19:08:55:976',13,0.503937,0.15748,0.17,0.4,0.35
3028,'2018/11/05 19:08:55:996',13,0.503937,0.15748,0.17,0.4,0.35
3029,'2018/11/05 19:08:56:016',13,0.503937,0.15748,0.17,0.4,0.35
3030,'2018/11/05 19:08:56:036',13,0.503937,0.15748,0.17,0.4,0.35
3031,'2018/11/05 19:08:56:056',13,0.503937,0.15748,0.17,0.4,0.35
3032,'2018/11/05 19:08:56:076',13,0.503937,0.15748,0.17,0.4,0.35
3033,'2018/11/05 19:08:56:096',13,0.503937,0.15748,0.17,0.4,0.35
3034,'2018/11/05 19:08:56:116',13,0.503937,0.15748,0.17,0.4,0.35
3035,'2018/11/05 19:08:56:136',13,0.503937,0.15748,0.17,0.4,0.35
3036,'2018/11/05 19:08:56:156',13,0.503937,0.15748,0.17,0.4,0.35
3037,'2018/11/05 19:08:56:176',13,0.503937,0.15748,0.17,0.4,0.35
3038,'2018/11/05 19:08:56:196',13,0.503937,0.15748,0.17,0.4,0.35
3039,'2018/11/05 19:08:56:216',13,0.503937,0.15748,0.17,0.4,0.35
3040,'2018/11/05 19:08:56:236',13,0.503937,0.15748,0.17,0.4,0.35
3041,'2018/11/05 19:08:56:256',13,0.503937,0.15748,0.17,0.4,0.35
3042,'2018/11/05 19:08:56:276',13,0.503937,0.15748,0.17,0.4,0.35
3043,'2018/11/05 19:08:56:296',13,0.503937,0.15748,0.17,0.4,0.35
3044,'2018/11/05 19:08:56:316',13,0.503937,0.15748,0.17,0.4,0.35
3045,'2018/11/05 19:08:56:336',13,0.503937,0.15748,0.17,0.4,0.35
3046,'2018/11/05 19:08:56:356',13,0.503937,0.15748,0.17,0.4,0.35
3047,'2018/11/05 19:08:56:376',13,0.503937,0.15748,0.17,0.4,0.35
3048,'2018/11/05 19:08:56:396',13,0.503937,0.15748,0.17,0.4,0.35
3049,'2018/11/05 19:08:56:416',13,0.503937,0.15748,0.17,0.4,0.35
3050,'2018/11/05 19:08:56:436',13,0.503937,0.15748,0.17,0.4,0.35
3051,'2018/11/05 19:08:56:456',13,0.141732,0.937008,0.17,0.4,0.35
3052,'2018/11/05 19:08:56:476',13,0.141732,0.937008,0.17,0.4,0.35
3053,'2018/11/05 19:08:56:496',13,0.102362,0.937008,0.17,0.4,0.35
3054,'2018/11/05 19:08:56:516',13,0.094488,0.937008,0.17,0.4,0.35
3055,'2018/11/05 19:08:56:536',13,0.07874,0.929134,0.17,0.4,0.35
3056,'2018/11/05 19:08:56:556',13,0.062992,0.92126,0.17,0.4,0.35
3057,'2018/11/05 19:08:56:576',13,0.055118,0.897638,0.17,0.4,0.35
3058,'2018/11/05 19:08:56:596',13,0.055118,0.874016,0.17,0.4,0.35
3059,'2018/11/05 19:08:56:616',13,0.055118,0.834646,0.17,0.4,0.35
3060,'2018/11/05 19:08:56:636',13,0.055118,0.811024,0.17,0.4,0.35
3061,'2018/11/05 19:08:56:656',13,0.070866,0.787402,0.17,0.4,0.35
3062,'2018/11/05 19:08:56:676',13,0.086614,0.779528,0.17,0.4,0.35
3063,'2018/11/05 19:08:56:696',13,0.125984,0.771654,0.17,0.4,0.35
3064,'2018/11/05 19:08:56:716',13,0.149606,0.771654,0.17,0.4,0.35
3065,'2018/11/05 19:08:56:736',13,0.173228,0.787402,0.17,0.4,0.35
3066,'2018/11/05 19:08:56:756',13,0.181102,0.811024,0.17,0.4,0.35
3067,'2018/11/05 19:08:56:777',13,0.181102,0.84252,0.17,0.4,0.35
3068,'2018/11/05 19:08:56:796',13,0.181102,0.866142,0.17,0.4,0.35
3069,'2018/11/05 19:08:56:816',13,0.173228,0.889764,0.17,0.4,0.35
3070,'2018/11/05 19:08:56:841',13,0.15748,0.905512,0.17,0.4,0.35
3071,'2018/11/05 19:08:56:856',13,0.149606,0.905512,0.17,0.4,0.35
3072,'2018/11/05 19:08:56:876',13,0.125984,0.905512,0.17,0.4,0.35
3073,'2018/11/05 19:08:56:896',13,0.094488,0.905512,0.17,0.4,0.35
3074,'2018/11/05 19:08:56:916',13,0.07874,0.905512,0.17,0.4,0.35
3075,'2018/11/05 19:08:56:936',13,0.055118,0.897638,0.17,0.4,0.35
3076,'2018/11/05 19:08:56:956',13,0.047244,0.889764,0.17,0.4,0.35
3077,'2018/11/05 19:08:56:976',13,0.047244,0.858268,0.17,0.4,0.35
3078,'2018/11/05 19:08:56:996',13,0.047244,0.834646,0.17,0.4,0.35
3079,'2018/11/05 19:08:57:016',13,0.070866,0.80315,0.17,0.4,0.35
3080,'2018/11/05 19:08:57:036',13,0.094488,0.779528,0.17,0.4,0.35
3081,'2018/11/05 19:08:57:056',13,0.125984,0.76378,0.17,0.4,0.35
3082,'2018/11/05 19:08:57:076',13,0.141732,0.76378,0.17,0.4,0.35
