@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1,'2018/11/05 19:17:35:068',1,0.006894,0.03778,0.031808,0.023623,0.006909,0.012091,0.004584,0.00381,0.003801,0.003463,0.00318,0.002959,0.002911,0.002011,0.002797,0.001446,0.001131,0.000954,0.000862,0.000669,0.000656,0.00043,0.000431,0.000432,0.000316,1
2,'2018/11/05 19:17:35:079',1,0.019418,0.060729,0.073876,0.01243,0.008055,0.008574,0.011134,0.005756,0.004506,0.005273,0.004707,0.002512,0.004781,0.001542,0.002301,0.001902,0.001471,0.00112,0.000833,0.000603,0.00049,0.0006,0.000531,0.000456,0.000369,1
3,'2018/11/05 19:17:35:091',1,0.015737,0.039832,0.069658,0.015793,0.007199,0.004142,0.011376,0.005735,0.004932,0.003956,0.004367,0.003584,0.004681,0.001853,0.002033,0.001497,0.001551,0.001051,0.000739,0.000594,0.000532,0.000713,0.000493,0.000502,0.000336,1
4,'2018/11/05 19:17:35:102',1,0.006835,0.01053,0.036197,0.018591,0.007626,0.006114,0.008504,0.003261,0.003834,0.003579,0.003572,0.002759,0.00263,0.001988,0.001886,0.001409,0.001252,0.000684,0.000591,0.000607,0.000481,0.000447,0.000359,0.000468,0.000265,1
5,'2018/11/05 19:17:35:114',1,0.006914,0.013353,0.02869,0.014241,0.011472,0.010586,0.005844,0.003289,0.003005,0.00207,0.002475,0.002597,0.003377,0.001289,0.001593,0.001203,0.000927,0.000726,0.000619,0.000621,0.000564,0.000536,0.000379,0.00049,0.000229,1
6,'2018/11/05 19:17:35:126',1,0.006901,0.026309,0.018792,0.011323,0.013468,0.013009,0.005815,0.00431,0.004242,0.005568,0.002153,0.00195,0.002822,0.001846,0.001308,0.001172,0.00105,0.000881,0.00054,0.000597,0.000621,0.000465,0.000369,0.00043,0.000241,1
7,'2018/11/05 19:17:35:137',1,0.008981,0.016107,0.029892,0.020224,0.017945,0.009514,0.007716,0.003762,0.003938,0.004347,0.001594,0.002674,0.002671,0.002173,0.00137,0.001418,0.001067,0.000878,0.000573,0.000548,0.000479,0.000426,0.000329,0.000415,0.000246,1
8,'2018/11/05 19:17:35:149',1,0.010897,0.017719,0.027111,0.014214,0.010509,0.007679,0.004058,0.002651,0.003536,0.00299,0.002696,0.002258,0.002847,0.002302,0.001804,0.001067,0.001027,0.000625,0.000541,0.0005,0.000425,0.000413,0.000358,0.000379,0.000267,1
9,'2018/11/05 19:17:35:161',1,0.006459,0.012537,0.010362,0.011838,0.006881,0.007039,0.005451,0.004617,0.004323,0.004542,0.003364,0.002441,0.002673,0.002604,0.001737,0.001022,0.001094,0.000783,0.000734,0.000525,0.000459,0.000349,0.000347,0.000348,0.000261,1
10,'2018/11/05 19:17:35:172',1,0.00583,0.011078,0.012217,0.011692,0.008864,0.00769,0.006462,0.004059,0.004074,0.005363,0.004309,0.002307,0.002499,0.002257,0.001831,0.001044,0.000968,0.000935,0.000739,0.000487,0.000491,0.000414,0.000364,0.000377,0.000261,1
